time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
2014-01-01,-123.13,49.29,1326.81,1701.31,1947.62,1284.08,1584.46,1810.49,1235.87,1600.61,1852.86
2015-01-01,-123.13,49.29,1262.09,1516.28,1871.19,1231.81,1501.25,1978.24,1252.10,1486.57,1791.07
2016-01-01,-123.13,49.29,1334.68,1633.77,1934.39,1367.96,1665.31,1895.36,1365.99,1585.04,2008.97
2017-01-01,-123.13,49.29,1354.66,1585.44,1907.40,1323.28,1619.77,1968.14,1247.87,1568.54,1960.80
2018-01-01,-123.13,49.29,1300.23,1493.87,2066.52,1243.33,1509.57,1793.31,1211.16,1662.35,2067.73
2019-01-01,-123.13,49.29,1348.52,1600.87,1850.77,1240.12,1558.46,1863.05,1419.72,1627.53,1814.82
2020-01-01,-123.13,49.29,1310.30,1644.04,1870.82,1288.10,1561.68,1895.29,1278.60,1504.90,1810.45
2021-01-01,-123.13,49.29,1188.65,1540.26,1755.81,1226.85,1591.02,2034.10,1259.99,1466.93,1889.78
2022-01-01,-123.13,49.29,1256.33,1560.19,1895.10,1205.26,1595.69,1865.29,1390.71,1688.21,2108.05
2023-01-01,-123.13,49.29,1211.11,1511.87,1795.87,1358.37,1696.36,1978.37,1289.55,1493.22,2066.58
2024-01-01,-123.13,49.29,1312.31,1741.71,2034.33,1387.62,1677.82,1946.38,1289.96,1519.31,1865.75
2025-01-01,-123.13,49.29,1344.88,1578.74,1837.54,1354.84,1618.06,1834.36,1335.23,1578.03,1896.87
2026-01-01,-123.13,49.29,1340.53,1577.49,1838.74,1321.47,1660.59,1991.82,1391.31,1607.97,1778.35
2027-01-01,-123.13,49.29,1357.91,1583.72,1902.17,1278.40,1520.93,1839.44,1268.82,1522.21,1819.21
2028-01-01,-123.13,49.29,1306.52,1577.49,1885.42,1497.93,1654.75,1892.92,1373.43,1635.05,1945.00
2029-01-01,-123.13,49.29,1357.66,1603.10,1833.92,1250.12,1624.42,1824.16,1392.99,1697.75,1916.88
2030-01-01,-123.13,49.29,1269.78,1744.03,1988.79,1264.10,1636.17,1865.31,1290.40,1566.16,1906.85
2031-01-01,-123.13,49.29,1223.19,1625.58,2046.10,1352.14,1528.22,1930.85,1234.50,1551.61,1932.81
2032-01-01,-123.13,49.29,1224.44,1580.08,1896.89,1171.49,1648.45,1934.41,1364.34,1570.11,1911.35
2033-01-01,-123.13,49.29,1315.92,1649.19,1956.40,1294.53,1631.03,1956.48,1251.07,1572.62,1847.73
2034-01-01,-123.13,49.29,1218.37,1492.36,1779.87,1256.64,1675.31,1863.59,1267.84,1541.54,1846.12
2035-01-01,-123.13,49.29,1348.07,1661.05,2029.05,1330.23,1693.99,1869.16,1272.22,1573.15,2055.75
2036-01-01,-123.13,49.29,1346.35,1672.77,1917.49,1189.32,1483.80,1870.15,1301.50,1653.18,1881.96
2037-01-01,-123.13,49.29,1316.85,1643.00,1908.57,1237.99,1524.56,1919.39,1293.05,1592.72,1854.76
2038-01-01,-123.13,49.29,1438.01,1650.38,2037.03,1398.28,1626.55,2118.26,1472.00,1613.61,1769.91
2039-01-01,-123.13,49.29,1361.23,1719.93,1872.08,1377.65,1651.84,1837.58,1244.01,1643.01,2021.38
2040-01-01,-123.13,49.29,1203.87,1656.65,2062.18,1360.15,1543.19,2018.27,1130.65,1564.27,2011.99
2041-01-01,-123.13,49.29,1297.03,1612.56,1822.33,1256.64,1642.61,1959.99,1420.21,1650.66,2005.45
2042-01-01,-123.13,49.29,1316.43,1517.62,1851.21,1313.07,1648.52,1938.65,1354.18,1656.26,1917.07
